Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
van Versendaal et al. 2023;10.3390/su15021081;Adapt;Soybean;May;Rainfed;America;USA;Kansas;;;Region;;;40;-98;Near;2022;2052;2011;2021;2037;2016;A1B;21;;;;APSIM;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield;Sowing date x Cultivar;;;;;;;;;;;;;;;
Zhang et al. 2020;10.1038/s41598-020-70819-z;Adapt;Soybean;;Unclear;America;USA;;;;Region;;;41;-93;Far;2041;2070;1980;2010;2055;1995;RCP4.5;GFDL-CM3;;;;DayCent;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield/SOC;Sowing date x Cultivar;Yield;t/ha;2,84;2,47;-0,13;Negative;;3,53;0,429149798;Positive;Sowing date x cultivar;;;;Extracted from Fig. 1 with ImageJ
Zhang et al. 2020;10.1038/s41598-020-70819-z;Adapt;Soybean;;Unclear;America;USA;;;;Region;;;41;-93;Far;2041;2070;1980;2010;2055;1995;RCP4.5;MIROC-ESM;;;;DayCent;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield/SOC;Sowing date x Cultivar;Yield;t/ha;2,84;2,035;-0,28;Negative;;2,95;0,44963145;Positive;Sowing date x cultivar;;;;Extracted from Fig. 1 with ImageJ
Zhang et al. 2020;10.1038/s41598-020-70819-z;Adapt;Soybean;;Unclear;America;USA;;;;Region;;;41;-93;Far;2041;2070;1980;2010;2055;1995;RCP4.5;MRI-CGCM3;;;;DayCent;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield/SOC;Sowing date x Cultivar;Yield;t/ha;2,84;3,08;0,08;Positive;;3,43;0,113636364;Positive;Sowing date x cultivar;;;;Extracted from Fig. 1 with ImageJ
He et al. 2018;10.1016/j.agsy.2017.01.025;Adapt;Soybean;June;Unclear;America;Canada;Woodslee;41,21;-82,75;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP4.5;CanRCM4;;3,5;533;DNDC;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/N2O emissions;Reduced tillage/Virtual cultivar/Virtual cultivar x Reduced tillage;Yield;t/ha;1,2;1,4;0,17;Positive;1,2;1,4;0;Neutral;Reduced tillage;Conventional tillage;No till;;Extracted from Fig. 7 with ImageJ
He et al. 2018;10.1016/j.agsy.2017.01.025;Adapt;Soybean;June;Unclear;America;Canada;Woodslee;41,21;-82,75;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP8.5;CanRCM4;;5,7;807;DNDC;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/N2O emissions;Reduced tillage/Virtual cultivar/Virtual cultivar x Reduced tillage;Yield;t/ha;1,2;1,6;0,33;Positive;1,2;1,4;-0,125;Negative;Reduced tillage;Conventional tillage;No till;;Extracted from Fig. 7 with ImageJ
He et al. 2018;10.1016/j.agsy.2017.01.025;Adapt;Soybean;June;Unclear;America;Canada;Woodslee;41,21;-82,75;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP4.5;CanRCM4;;3,5;533;DNDC;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/N2O emissions;Reduced tillage/Virtual cultivar/Virtual cultivar x Reduced tillage;Yield;t/ha;1,2;1,4;0,17;Positive;1,2;1,4;0;Neutral;Virtual cultivar;Conventional cultivar 1500 TDD;New cultivar 2000 TDD;Conventional tillage;Extracted from Fig. 7 with ImageJ
He et al. 2018;10.1016/j.agsy.2017.01.025;Adapt;Soybean;June;Unclear;America;Canada;Woodslee;41,21;-82,75;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP8.5;CanRCM4;;5,7;807;DNDC;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/N2O emissions;Reduced tillage/Virtual cultivar/Virtual cultivar x Reduced tillage;Yield;t/ha;1,2;1,6;0,33;Positive;1,2;1,6;0;Neutral;Virtual cultivar;Conventional cultivar 1500 TDD;New cultivar 2000 TDD;Conventional tillage;Extracted from Fig. 7 with ImageJ
He et al. 2018;10.1016/j.agsy.2017.01.025;Adapt;Soybean;June;Unclear;America;Canada;Woodslee;41,21;-82,75;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP4.5;CanRCM4;;3,5;533;DNDC;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/N2O emissions;Reduced tillage/Virtual cultivar/Virtual cultivar x Reduced tillage;Yield;t/ha;1,2;1,4;0,17;Positive;1,2;1,4;0;Neutral;Virtual cultivar x Reduced tillage;Conventional cultivar x Tillage;New cultivar 2000 TDD x No till;;Extracted from Fig. 7 with ImageJ
He et al. 2018;10.1016/j.agsy.2017.01.025;Adapt;Soybean;June;Unclear;America;Canada;Woodslee;41,21;-82,75;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP8.5;CanRCM4;;5,7;807;DNDC;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/N2O emissions;Reduced tillage/Virtual cultivar/Virtual cultivar x Reduced tillage;Yield;t/ha;1,2;1,6;0,33;Positive;1,2;1,55;-0,03125;Neutral;Virtual cultivar x Reduced tillage;Conventional cultivar x Tillage;New cultivar 2000 TDD x No till;;Extracted from Fig. 7 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2040;2070;1971;2000;2055;1985;RCP4.5;CanRCM4;;3,2;498;CROPGRO ;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,3;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP4.5;CanRCM4;;3,8;533;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,3;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2040;2070;1971;2000;2055;1985;RCP8.5;CanRCM4;;3,9;532;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,37;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP8.5;CanRCM4;;6,3;801;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,47;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2040;2070;1971;2000;2055;1985;RCP4.5;CanRCM4;;3,2;498;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,44;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP4.5;CanRCM4;;3,8;533;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,47;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2040;2070;1971;2000;2055;1985;RCP8.5;CanRCM4;;3,9;532;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,47;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Jing et al. 2017;10.1139/cjps-2017-0065;Adapt;Soybean;May;Unclear;America;Canada;Ottawa;45,18;-75,43;Spot;;;43,2;-79,1;Far;2071;2100;1971;2000;2085;1985;RCP8.5;CanRCM4;;6,3;801;STICS;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress/N stress;Change in yield/Biomass;Sowing date/Virtual cultivar;Yield;t/ha;;;;;;;0,62;Positive;Virtual cultivar;;Growing season +40%/HI maintained;;Extracted from Fig. 5 with ImageJ
Panagopoulos et al. 2014;10.2489/jswc.69.6.483;Adapt;Soybean;;Unclear;America;USA;Upper Mississippi River Basin;;;Region;;;41;-93;Far;2046;2065;1975;2010;2055;1992;A1B;MIROC3.2;-7,50%;4;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop/Others;Yield;t/ha;2,86;2,66;-0,07;Negative;2,86;2,67;0,003759398;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2014;10.2489/jswc.69.6.483;Adapt;Soybean;;Unclear;America;USA;Upper Mississippi River Basin;;;Region;;;41;-93;Far;2046;2065;1975;2010;2055;1992;A1B;MIROC3.2;-7,50%;4;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop/Others;Yield;t/ha;2,86;2,66;-0,07;Negative;2,67;2,48;-0,067669173;Negative;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2014;10.2489/jswc.69.6.483;Adapt;Soybean;;Unclear;America;USA;Upper Mississippi River Basin;;;Region;;;41;-93;Far;2046;2065;1975;2010;2055;1992;A1B;MIROC3.2;-7,50%;4;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop/Others;Yield;t/ha;2,86;2,66;-0,07;Negative;2,78;2,47;-0,071428571;Negative;Rotation;;Extended rotation 3 alfalfa year;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;BCCR_BCM2.0;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,52;-0,11;Negative;2,82;2,52;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;CGCM3.1;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,09;-0,26;Negative;2,82;2,09;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;CNRM-CM3;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,57;-0,09;Negative;2,82;2,57;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;INM-CM3.0;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,38;-0,16;Negative;2,82;2,38;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;IPSL-CM4;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,51;-0,11;Negative;2,82;2,51;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;MIROC3.2;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,51;-0,11;Negative;2,82;2,51;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;MRI-CGCM2.3.2;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,09;-0,26;Negative;2,82;2,09;0;Neutral;Reduced tillage;;No till;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;BCCR_BCM2.0;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,52;-0,11;Negative;2,76;2,48;-0,015873016;Neutral;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;CGCM3.1;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,09;-0,26;Negative;2,76;2,06;-0,014354067;Neutral;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;CNRM-CM3;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,57;-0,09;Negative;2,76;2,53;-0,015564202;Neutral;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;INM-CM3.0;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,38;-0,16;Negative;2,76;2,35;-0,012605042;Neutral;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;IPSL-CM4;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,51;-0,11;Negative;2,76;2,47;-0,015936255;Neutral;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;MIROC3.2;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,51;-0,11;Negative;2,76;2,47;-0,015936255;Neutral;Cover crop;;Rye cover crop;;
Panagopoulos et al. 2015;10.3965/j.ijabe.20150803.1497;Adapt;Soybean;;Unclear;America;USA;Ohio-Tennessee River Basin;;;Region;;;40,5;-84,5;Far;2046;2065;1981;1999;2055;1990;A1B;MRI-CGCM2.3.2;;;;SWAT;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield/Runoff;Reduced tillage/Cover crop;Yield;t/ha;2,82;2,09;-0,26;Negative;2,76;2,07;-0,009569378;Neutral;Cover crop;;Rye cover crop;;
Malone et al. 2020;10.3390/su12187630;Adapt;Soybean;May;Unclear;America;USA;Ames;;;Spot;;;41;-93;Far;2065;2085;1991;2011;2075;2001;RCP4.5;6;;;529;RZWQM;Process-based model;Temperature/Rainfall/CO2/Water stress/N stress;Grain yield/Nutrient budget/Water balance;Cover crop;Yield;t/ha;3,2;3,8;0,19;Positive;;3,9;0,026315789;Neutral;Cover crop;;Rye cover crop;;
Parajuli et al. 2016;10.1016/j.agwat.2016.02.005;Adapt;Soybean;March;Irrigated;America;USA;;;;Region;;;34,5;-90;Far;2046;2065;1992;2011;2055;2001;A1B/A2/B1;CCSM3;;;;SWAT;Process-based model;Temperature/Rainfall/Temperature stress/Water stress/N stress;Grain yield/Sediment yield;Reduced tillage;Yield;t/ha;2,77;2,6869;-0,03;Neutral;2,77;2,6869;0;Neutral;Reduced tillage;;;;
Parajuli et al. 2016;10.1016/j.agwat.2016.02.005;Adapt;Soybean;March;Irrigated;America;USA;;;;Region;;;34,5;-90;Far;2080;2099;1992;2011;2089;2001;A1B/A2/B1;CCSM3;;;;SWAT;Process-based model;Temperature/Rainfall/Temperature stress/Water stress/N stress;Grain yield/Sediment yield;Reduced tillage;Yield;t/ha;2,77;2,72845;-0,02;Neutral;2,77;2,72845;0;Neutral;Reduced tillage;;;;
Li et al. 2021;10.1016/j.agwat.2021.107042;Adapt;Soybean;April;Unclear;America;USA;Pontotoc;34,7;-89;Spot;;;34,5;-90;Near;2020;2079;1956;2015;2049;1985;RCP4.5;10;8,6;4,7;480;RZWQM2;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield/WUE/Water balance/Runoff;Cover crop;Yield;t/ha;3,2902;2,6772;-0,19;Negative;3,3463;2,7259;0,018190647;Neutral;Cover crop;;Wheat cover crop;;
Li et al. 2021;10.1016/j.agwat.2021.107042;Adapt;Soybean;April;Unclear;America;USA;Pontotoc;34,7;-89;Spot;;;34,5;-90;Near;2020;2079;1956;2015;2049;1985;RCP8.5;10;8,3;5,9;560;RZWQM2;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield/WUE/Water balance/Runoff;Cover crop;Yield;t/ha;3,2902;2,7666;-0,16;Negative;3,3463;2,8021;0,012831634;Neutral;Cover crop;;Wheat cover crop;;
Basche et al. 2016;10.1016/j.agee.2015.11.011;Adapt;Soybean;May;Unclear;America;USA;Iowa;42,05;-93,71;Spot;;;41;-93;Near;2015;2060;2003;2014;2037;2008;RCP4.5;20;;;;APSIM;Process-based model;Temperature/Rainfall/Water stress;Grain yield/SOC/N2O emissions;Cover crop;;;;;;;;;;;;;;;
Paul et al. 2020;10.3390/cli8120139;Adapt;Soybean;May;Rainfed;America;USA;Monocacy River Watershed;;;Region;;;39,6;-77,3;Near;2035;2049;1986;2000;2042;1993;RCP4.5;4;;;;SWAT;Process-based model;Temperature/Rainfall/Water stress;Change in yield/Water balance;Irrigation;Relative yield;;100;111;0,11;Positive;;109,6;-0,012612613;Neutral;Irrigation;Rainfed;;;
Paul et al. 2020;10.3390/cli8120139;Adapt;Soybean;May;Rainfed;America;USA;Monocacy River Watershed;;;Region;;;39,6;-77,3;Near;2035;2049;1986;2000;2042;1993;RCP6.0;4;;;;SWAT;Process-based model;Temperature/Rainfall/Water stress;Change in yield/Water balance;Irrigation;Relative yield;;100;146,3;0,46;Positive;;141,3;-0,03417635;Neutral;Irrigation;Rainfed;;;
Paul et al. 2020;10.3390/cli8120139;Adapt;Soybean;May;Rainfed;America;USA;Monocacy River Watershed;;;Region;;;39,6;-77,3;Near;2035;2049;1986;2000;2042;1993;RCP8.5;4;;;;SWAT;Process-based model;Temperature/Rainfall/Water stress;Change in yield/Water balance;Irrigation;Relative yield;;100;119,3;0,19;Positive;;118,3;-0,00838223;Neutral;Irrigation;Rainfed;;;
Paul et al. 2020;10.3390/cli8120139;Adapt;Soybean;May;Rainfed;America;USA;Monocacy River Watershed;;;Region;;;39,6;-77,3;Far;2085;2099;1986;2000;2092;1993;RCP4.5;4;;;;SWAT;Process-based model;Temperature/Rainfall/Water stress;Change in yield/Water balance;Irrigation;Relative yield;;100;102,6;0,03;Neutral;;94,2;-0,081871345;Negative;Irrigation;Rainfed;;;
Paul et al. 2020;10.3390/cli8120139;Adapt;Soybean;May;Rainfed;America;USA;Monocacy River Watershed;;;Region;;;39,6;-77,3;Far;2085;2099;1986;2000;2092;1993;RCP6.0;4;;;;SWAT;Process-based model;Temperature/Rainfall/Water stress;Change in yield/Water balance;Irrigation;Relative yield;;100;87,4;-0,13;Negative;;79,5;-0,090389016;Negative;Irrigation;Rainfed;;;
Paul et al. 2020;10.3390/cli8120139;Adapt;Soybean;May;Rainfed;America;USA;Monocacy River Watershed;;;Region;;;39,6;-77,3;Far;2085;2099;1986;2000;2092;1993;RCP8.5;4;;;;SWAT;Process-based model;Temperature/Rainfall/Water stress;Change in yield/Water balance;Irrigation;Relative yield;;100;79,5;-0,21;Negative;;80,7;0,01509434;Neutral;Irrigation;Rainfed;;;
Lambert et al. 2021;10.1016/j.crm.2021.100293;Adapt;Soybean;;Rainfed;America;USA;Tennessee;;;Region;;;35,705;-85,825;Near;2019;2049;1981;2010;2034;1995;RCP4.5/RCP8.5;MIROC-ESM-CHEM;;;;EPIC;Process-based model;Temperature/Rainfall/Stress unclear;Grain yield;Irrigation;;;;;;;;;;;;;;;
Minoli et al. 2022;10.1038/s41467-022-34411-5;Adapt;Soybean;;Undifferentiated;Europe;;;;;World;;;;;Far;2080;2099;1986;2005;2089;1995;RCP6.0;4;;;;LPJmL;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Change in yield;Virtual cultivar/Sowing date/Sowing date x Virtual cultivar;;;;;;;;;;;;;;;
Zabel et al. 2021;10.1111/gcb.15649;Adapt;Soybean;;Undifferentiated;Europe;;;;;World;;;;;Far;2070;2100;1980;2010;2085;1995;SSP1-2.6/SSP2-4.5/SSP3-7.0/SSP5-8.5;5;;;;CARAIB/GEPIC/LPJ-GUESS/LPJmL/pDSSAT/PEPIC/PROMET;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Change in production/Risk for non-existing adapted varieties;Cultivar;;;;;;;;;;;;;;;
Elli et al. 2022;10.3389/fpls.2022.849896;Adapt;Soybean;;Undifferentiated;America;USA;;;;Region;;;40;-98;Near;2020;2080;1995;2020;2050;2007;RCP2.6/RCP7.0/RCP8.5;5;;;;APSIM;Process-based model;Temperature/Rainfall;Change in yield/N budget/N2O emissions/Biological N Fixation;Fertilization/Sowing date/Sowing density/Residue management/Irrigation/Subsurface drainage/Cultivar;;;;;;;;;;;;;;;
Adhikari et al. 2020;10.13031/aea.13383;Adapt;Soybean;;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2040;2099;1980;2010;2069;1995;RCP8.5;CCSM4/MIROC5;;;;DRAINMOD;Process-based model;Temperature/Rainfall/CO2/Temperature stress/Water stress;Grain yield;Subsurface drainage;;;;;;;;;;;;;;;
Fu et al. 2016;10.1515/intag-2015-0069;Adapt;Soybean;May;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2080;2100;1991;2010;2090;2000;RCP4.5;42;3;2,6;538;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield;Sowing date/Virtual cultivar;Yield;t/ha;3,959;4,11;0,04;Neutral;3,961;4,269;0,038686131;Neutral;Sowing date;DOY 145;DOY 152;Median scenario;
Fu et al. 2016;10.1515/intag-2015-0069;Adapt;Soybean;May;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2080;2100;1991;2010;2090;2000;RCP4.5;42;-4;4,3;538;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield;Sowing date/Virtual cultivar;Yield;t/ha;3,959;3,603;-0,09;Negative;3,961;3,774;0,04746045;Neutral;Sowing date;DOY 145;DOY 152;Extreme scenario;
Fu et al. 2016;10.1515/intag-2015-0069;Adapt;Soybean;May;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2080;2100;1991;2010;2090;2000;RCP8.5;42;7;5,1;936;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield;Sowing date/Virtual cultivar;Yield;t/ha;3,959;3,772;-0,05;Neutral;3,961;3,954;0,048250265;Neutral;Sowing date;DOY 145;DOY 152;Median scenario;
Fu et al. 2016;10.1515/intag-2015-0069;Adapt;Soybean;May;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2080;2100;1991;2010;2090;2000;RCP8.5;42;-14;7,4;936;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield;Sowing date/Virtual cultivar;Yield;t/ha;3,959;2,132;-0,46;Negative;3,961;2,38;0,116322702;Positive;Sowing date;DOY 145;DOY 152;Extreme scenario;
Fu et al. 2016;10.1515/intag-2015-0069;Adapt;Soybean;May;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2080;2100;1991;2010;2090;2000;RCP8.5;42;-14;7,4;936;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield;Sowing date/Virtual cultivar;Yield;t/ha;;2,06;;;;2,36;0,145631068;Positive;Virtual cultivar;SD-PM 34 thermal days;SD-PM 41 thermal days;Extreme scenario;Extracted from Fig. 1 with ImageJ
Fu et al. 2016;10.1515/intag-2015-0069;Adapt;Soybean;May;Unclear;America;USA;Illinois;;;Spot;;;40;-88,5;Far;2080;2100;1991;2010;2090;2000;RCP8.5;42;-14;7,4;936;CROPGRO;Process-based model;Temperature/Rainfall/CO2/Stress unclear;Grain yield;Sowing date/Virtual cultivar;Yield;t/ha;;2,06;;;;2,6;0,262135922;Positive;Virtual cultivar;SD-PM 34 thermal days;SD-PM 48 thermal days;Extreme scenario;Extracted from Fig. 1 with ImageJ
