Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Sombor;45,28;19,03;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-30,1;3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,144938039;4,497261396;0,43;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Vranje;42,28;21,54;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-19,1;1,3;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;2,798891711;4,002415146;0,43;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Vranje;42,28;21,54;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-22,3;1,6;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;2,827446414;3,95842498;0,4;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Vranje;42,28;21,54;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-31,9;2,4;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;2,848564473;4,244361064;0,49;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Vranje;42,28;21,54;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-37,1;2,9;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;2,863434012;4,123344978;0,44;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Zajecar;44,52;22,16;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-12,1;1,1;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,4545863;4,629145642;0,34;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Zajecar;44,52;22,16;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-14;1,4;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,471000541;4,651140725;0,34;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Zajecar;44,52;22,16;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-20;2,1;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,455783486;5,080001725;0,47;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Zajecar;44,52;22,16;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-23,2;2,6;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,456885087;5,047052228;0,46;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;HadCM;-8;1,7;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,936394132;4,959856606;0,26;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;HadCM;-8,8;2,1;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,996001404;5,194801825;0,3;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;HadCM;-13,3;3,2;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,958988175;5,582173327;0,41;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;HadCM;-15,9;3,8;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,9653654;5,472204252;0,38;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;HadCM;-10,8;1,8;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,399367178;4,895088737;0,44;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;HadCM;-11,4;2,2;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,389711536;5,355744226;0,58;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;HadCM;-16,4;3,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,389776934;5,932109634;0,75;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;HadCM;-19,3;4;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,377903859;5,843773677;0,73;Positive;;;;;;;;;
