Var;Geo;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Area (1000ha);Pays de la Loire (NUTS 2013);;;;;;;;;;
Area (1000ha);Bretagne (NUTS 2013);;;;;;;;;;
Area (1000ha);Poitou-Charentes (NUTS 2013);;;;;;;;;;
Area (1000ha);Sud-Ouest (FR) (NUTS 2013);;66,63;83,28;;;;;;;
Area (1000ha);Aquitaine (NUTS 2013);;;;;;;;;;
Area (1000ha);Midi-Pyrénées (NUTS 2013);;;;;;;;;;
Area (1000ha);Limousin (NUTS 2013);;;;;;;;;;
Area (1000ha);Centre-Est (FR) (NUTS 2013);;12,82;13,85;;;;;;;
Area (1000ha);Rhône-Alpes (NUTS 2013);;;;;;;;;;
Area (1000ha);Auvergne (NUTS 2013);;;;;;;;;;
Area (1000ha);Méditerranée (NUTS 2013);;2,6;2,55;;;;;;;
Area (1000ha);Languedoc-Roussillon (NUTS 2013);;;;;;;;;;
Area (1000ha);Provence-Alpes-Côte d'Azur (NUTS 2013);;;;;;;;;;
Area (1000ha);Corse (NUTS 2013);;;;;;;;;;
Area (1000ha);Départements d'outre-mer (NUTS 2013);;0;0;;;;;;;
Area (1000ha);Guadeloupe (NUTS 2013);;;;;;;;;;
Area (1000ha);Martinique (NUTS 2013);;;;;;;;;;
Area (1000ha);Guyane (NUTS 2013);;;;;;;;;;
Area (1000ha);La Réunion (NUTS 2013);;;;;;;;;;
Area (1000ha);Mayotte (NUTS 2013);;;;;;;;;;
Area (1000ha);Départements d'outre-mer (NUTS 2010);;;;;;;;;;
Area (1000ha);Guadeloupe (NUTS 2010);;;;;;;;;;
Area (1000ha);Martinique (NUTS 2010);;;;;;;;;;
Area (1000ha);Guyane (NUTS 2010);;;;;;;;;;
Area (1000ha);Réunion (NUTS 2010);;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Croatia;47,1;88,87;78,61;85,13;77,09;78,33;86,19;86,26;89,1;91
Area (1000ha);Hrvatska;47,1;88,87;78,61;85,13;77,09;78,33;86,19;86,26;;
Area (1000ha);Panonska Hrvatska;46,99;;73,47;77,91;71,42;74,03;79,44;79,9;;
Area (1000ha);Jadranska Hrvatska;0,11;0,2;0;0,03;0;0,04;0,06;0,28;;
Area (1000ha);Kontinentalna Hrvatska;46,99;88,66;78,52;85,1;77,05;78,29;;;;
Area (1000ha);Grad Zagreb;;;0,11;0,22;0;0;0,26;0,35;;
Area (1000ha);Sjeverna Hrvatska;;;5,03;6,97;5,67;4,26;6,43;5,74;;
Area (1000ha);Sjeverozapadna Hrvatska (former statistical region);;;;;;;;;;
Area (1000ha);Italy;232,87;308,98;288,06;322,42;326,59;273,33;256,13;285,46;342,53;290,5
Area (1000ha);Nord-Ovest;84,95;77,32;68,69;74,17;67,94;55,36;53,8;61,09;;
Area (1000ha);Piemonte;12,82;23,24;22,6;20,82;16,94;14,05;13,09;13,77;;
Area (1000ha);Valle d'Aosta/Vallée d'Aoste;0;0;0;0;0;0;0;0;;
Area (1000ha);Liguria;;0;0;0;0;0;0;0;;
Area (1000ha);Lombardia;37,1;54,08;46,09;53,34;51;41,31;40,71;47,33;;
Area (1000ha);Nord-Est;;230,43;217,98;246,88;257,26;216,45;200,69;222,64;;
Area (1000ha);Provincia Autonoma di Bolzano/Bozen;;0;0;0;0;0;0;0;;
Area (1000ha);Provincia Autonoma di Trento;;0;0;0;0;0;0;0;;
Area (1000ha);Veneto;;134,36;134,28;154,68;165,26;133,94;136,08;140,62;;
Area (1000ha);Friuli-Venezia Giulia;;58,34;54,05;54,14;56,26;50,59;28,73;38,75;;
Area (1000ha);Emilia-Romagna;;37,73;29,66;38,06;35,74;31,92;35,89;43,27;;
Area (1000ha);Nord-Est (NUTS 2006);146,69;;;;;;;;;
Area (1000ha);Provincia Autonoma Bolzano/Bozen (NUTS 2006);0;;;;;;;;;
Area (1000ha);Provincia Autonoma Trento (NUTS 2006);0;;;;;;;;;
Area (1000ha);Veneto (NUTS 2006);0;;;;;;;;;
Area (1000ha);Friuli-Venezia Giulia (NUTS 2006);121,44;;;;;;;;;
Area (1000ha);Emilia-Romagna (NUTS 2006);25,25;;;;;;;;;
Area (1000ha);Centro (IT);;1,12;1,28;1,26;1,26;1,39;1,52;1,61;;
Area (1000ha);Toscana;;0,43;0,65;0,67;0,67;0,74;0,88;0,98;;
Area (1000ha);Umbria;;0,12;0,06;0,05;0,05;0,05;0,02;0,02;;
Area (1000ha);Marche;;0,48;0,49;0,48;0,49;0,51;0,51;0,51;;
Area (1000ha);Lazio;;0,09;0,09;0,07;0,06;0,08;0,1;0,09;;
Area (1000ha);Centro (I) (NUTS 2006);1,11;;;;;;;;;
Area (1000ha);Toscana (NUTS 2006);;;;;;;;;;
Area (1000ha);Umbria (NUTS 2006);;;;;;;;;;
Area (1000ha);Marche (NUTS 2006);;;;;;;;;;
Area (1000ha);Lazio (NUTS 2006);;;;;;;;;;
Area (1000ha);Sud;;0,11;0,11;0,11;0,13;0,13;0,13;0,13;;
Area (1000ha);Abruzzo;;0,11;0,11;0,11;0,09;0,09;0,09;0,09;;
Area (1000ha);Molise;0;0;0;0;0;0;0;0;;
Area (1000ha);Campania;0;0;0;0,01;0,01;0,01;0;0;;
Area (1000ha);Puglia;0;0;0;0;0;0;0;0;;
Area (1000ha);Basilicata;0;0;0;0;0;0;0;0;;
Area (1000ha);Calabria;0;0;0;0;0,04;0,04;0,04;0,04;;
Area (1000ha);Isole;0;0;0;0;0;0;0;0;;
Area (1000ha);Sicilia;0;0;0;0;0;0;0;0;;
Area (1000ha);Sardegna;0;0;0;0;0;0;0;0;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Cyprus;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Kypros;;0;0;0;0;0;0;0;0;0
Area (1000ha);Kypros;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Area (1000ha);Latvia;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Latvija;;0;0;0;0;0;0;0;0;0
Area (1000ha);Latvija;;;;;;;;0;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Area (1000ha);Lithuania;2,1;2,63;1,85;2,47;1,92;1,82;2,07;1,54;2,04;
Area (1000ha);Lietuva;;2,63;1,85;2,47;1,92;1,82;2,07;1,54;;
Area (1000ha);Sostinės regionas;0,1;0;0,01;0,04;0,08;0,18;0,07;;;
Area (1000ha);Vidurio ir vakarų Lietuvos regionas ;2;2,62;1,84;2,43;1,84;1,64;2;;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
