Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2014;2014;hg/ha;21548;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2015;2015;hg/ha;14247;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2016;2016;hg/ha;26576;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2017;2017;hg/ha;15637;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2018;2018;hg/ha;27197;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2019;2019;hg/ha;26316;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2020;2020;hg/ha;29330;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5419;Yield;141;Soya beans;2021;2021;hg/ha;23371;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2010;2010;tonnes;8007;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2011;2011;tonnes;6748;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2012;2012;tonnes;6708;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2013;2013;tonnes;7964;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2014;2014;tonnes;9020;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2015;2015;tonnes;10497;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2016;2016;tonnes;18662;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2017;2017;tonnes;11739.74;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2018;2018;tonnes;23332;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2019;2019;tonnes;23753;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2020;2020;tonnes;37202;A;Official figure;
QCL;Crops and livestock products;70;Bosnia and Herzegovina;5510;Production;141;Soya beans;2021;2021;tonnes;24883;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2010;2010;ha;725;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2011;2011;ha;588;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2012;2012;ha;248;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2013;2013;ha;336;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2014;2014;ha;305;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2015;2015;ha;34468;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2016;2016;ha;14162;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2017;2017;ha;11530;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2018;2018;ha;2320;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2019;2019;ha;3860;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2020;2020;ha;4510;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5312;Area harvested;141;Soya beans;2021;2021;ha;1990;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2010;2010;hg/ha;22717;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2011;2011;hg/ha;11565;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2012;2012;hg/ha;7903;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2013;2013;hg/ha;17976;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2014;2014;hg/ha;24131;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2015;2015;hg/ha;11686;A;Official figure;
QCL;Crops and livestock products;100;Bulgaria;5419;Yield;141;Soya beans;2016;2016;hg/ha;12923;A;Official figure;
